Survived,Pclass,Sex,Age,SibSp,Parch,Sex_encoding,features,rawPrediction,probability,prediction
0,1,female,0.67,1,0,0.0,"[0.0,1.0,1.0,0.0,0.67,0.0]","[1.5435020027249977,-1.5435020027249977]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,1.0,1,1,0.0,"[0.0,1.0,1.0,1.0,1.0,0.0]","[1.5435020027249973,-1.5435020027249973]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,2.0,1,0,0.0,"[0.0,1.0,1.0,0.0,2.0,0.0]","[1.5435020027249977,-1.5435020027249977]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,2.0,1,2,0.0,"[0.0,1.0,1.0,2.0,2.0,0.0]","[1.5435020027249973,-1.5435020027249973]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,2.0,1,2,0.0,"[0.0,1.0,1.0,2.0,2.0,0.0]","[1.5435020027249973,-1.5435020027249973]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,3.0,1,2,0.0,"[0.0,1.0,1.0,2.0,3.0,0.0]","[1.5435020027249973,-1.5435020027249973]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,4.0,0,0,0.0,"(6,[1,4],[1.0,4.0])","[1.5435020027249982,-1.5435020027249982]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,5.0,0,0,0.0,"(6,[1,4],[1.0,5.0])","[1.5435020027249982,-1.5435020027249982]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,5.0,0,0,0.0,"(6,[1,4],[1.0,5.0])","[1.5435020027249982,-1.5435020027249982]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,5.0,0,2,0.0,"[0.0,1.0,0.0,2.0,5.0,0.0]","[1.5435020027249977,-1.5435020027249977]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,5.0,2,1,0.0,"[0.0,1.0,2.0,1.0,5.0,0.0]","[1.5435020027249973,-1.5435020027249973]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,6.0,1,1,0.0,"[0.0,1.0,1.0,1.0,6.0,0.0]","[1.5435020027249973,-1.5435020027249973]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,6.0,1,2,0.0,"[0.0,1.0,1.0,2.0,6.0,0.0]","[1.5435020027249973,-1.5435020027249973]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,7.0,1,2,0.0,"[0.0,1.0,1.0,2.0,7.0,0.0]","[1.5435020027249973,-1.5435020027249973]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,7.0,1,2,0.0,"[0.0,1.0,1.0,2.0,7.0,0.0]","[1.5435020027249973,-1.5435020027249973]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,8.0,0,0,0.0,"(6,[1,4],[1.0,8.0])","[1.5435020027249982,-1.5435020027249982]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,8.0,0,1,0.0,"[0.0,1.0,0.0,1.0,8.0,0.0]","[1.5435020027249977,-1.5435020027249977]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,8.0,3,2,0.0,"[0.0,1.0,3.0,2.0,8.0,0.0]","[1.5435020027249964,-1.5435020027249964]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,8.0,3,3,0.0,"[0.0,1.0,3.0,3.0,8.0,0.0]","[1.5435020027249964,-1.5435020027249964]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,9.0,0,0,0.0,"(6,[1,4],[1.0,9.0])","[1.5435020027249982,-1.5435020027249982]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,9.0,1,2,0.0,"[0.0,1.0,1.0,2.0,9.0,0.0]","[1.5435020027249973,-1.5435020027249973]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,12.0,0,1,0.0,"[0.0,1.0,0.0,1.0,12.0,0.0]","[1.5435020027249977,-1.5435020027249977]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,13.0,0,0,0.0,"(6,[1,4],[1.0,13.0])","[1.5435020027249982,-1.5435020027249982]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,14.0,0,0,0.0,"(6,[1,4],[1.0,14.0])","[1.5435020027249982,-1.5435020027249982]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,16.0,0,2,0.0,"[0.0,1.0,0.0,2.0,16.0,0.0]","[1.5435020027249977,-1.5435020027249977]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,17.0,1,0,0.0,"[0.0,1.0,1.0,0.0,17.0,0.0]","[1.5435020027249977,-1.5435020027249977]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,18.0,1,0,0.0,"[0.0,1.0,1.0,0.0,18.0,0.0]","[1.5435020027249977,-1.5435020027249977]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,19.0,0,0,0.0,"(6,[1,4],[1.0,19.0])","[1.5435020027249982,-1.5435020027249982]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,19.0,1,2,0.0,"[0.0,1.0,1.0,2.0,19.0,0.0]","[1.5435020027249973,-1.5435020027249973]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,20.0,0,0,0.0,"(6,[1,4],[1.0,20.0])","[1.5435020027249982,-1.5435020027249982]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,20.0,0,0,0.0,"(6,[1,4],[1.0,20.0])","[1.5435020027249982,-1.5435020027249982]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,20.0,0,0,0.0,"(6,[1,4],[1.0,20.0])","[1.5435020027249982,-1.5435020027249982]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,20.0,2,0,0.0,"[0.0,1.0,2.0,0.0,20.0,0.0]","[1.5435020027249977,-1.5435020027249977]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,22.0,0,0,0.0,"(6,[1,4],[1.0,22.0])","[1.5435020027249982,-1.5435020027249982]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,22.0,1,2,0.0,"[0.0,1.0,1.0,2.0,22.0,0.0]","[1.5435020027249973,-1.5435020027249973]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,23.0,0,0,0.0,"(6,[1,4],[1.0,23.0])","[1.5435020027249982,-1.5435020027249982]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,23.0,0,0,0.0,"(6,[1,4],[1.0,23.0])","[1.5435020027249982,-1.5435020027249982]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,23.0,0,2,0.0,"[0.0,1.0,0.0,2.0,23.0,0.0]","[1.5435020027249977,-1.5435020027249977]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,23.0,1,9,0.0,"[0.0,1.0,1.0,9.0,23.0,0.0]","[1.5435020027249973,-1.5435020027249973]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,23.0,2,2,0.0,"[0.0,1.0,2.0,2.0,23.0,0.0]","[1.5435020027249973,-1.5435020027249973]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,23.0,3,2,0.0,"[0.0,1.0,3.0,2.0,23.0,0.0]","[1.5435020027249964,-1.5435020027249964]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,24.0,0,0,0.0,"(6,[1,4],[1.0,24.0])","[1.5435020027249982,-1.5435020027249982]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,24.0,0,0,0.0,"(6,[1,4],[1.0,24.0])","[1.5435020027249982,-1.5435020027249982]","[0.9563534785727079,0.043646521427292084]",0.0
0,1,female,24.0,1,2,0.0,"[0.0,1.0,1.0,2.0,24.0,0.0]","[1.5435020027249973,-1.5435020027249973]","[0.9563534785727079,0.043646521427292084]",0.0
